artist_id,has_discography,first_release,latest_release,career_time,time_since_latest_release,studio_albums,non_remix_singles,total_artists,artists_ids
Baleia_2015-03-28,True,2013.0,2013-01-01,2.0,2.0,1.0,1.0,1.0,"spotify:artist:2lP92z8qc2p0BQd7VqBio7,spotify:artist:2lP92z8qc2p0BQd7VqBio7,spotify:artist:2lP92z8qc2p0BQd7VqBio7,spotify:artist:2lP92z8qc2p0BQd7VqBio7,spotify:artist:2lP92z8qc2p0BQd7VqBio7,spotify:artist:2lP92z8qc2p0BQd7VqBio7,spotify:artist:2lP92z8qc2p0BQd7VqBio7,spotify:artist:2lP92z8qc2p0BQd7VqBio7"
Banda do Mar_2015-03-28,True,2014.0,2014-09-02,1.0,0.0,1.0,0.0,1.0,spotify:artist:1Gu3ALcPEx3FFGAfAbqQvD
Alt-J_2015-03-28,True,2012.0,2014-09-22,3.0,0.0,2.0,10.0,1.0,"spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5"
Robert Plant and The Sensational Space Shifters_2015-03-28,True,1982.0,2014-09-05,33.0,0.0,13.0,5.0,1.0,"spotify:artist:1OwarW4LEHnoep20ixRA0y,spotify:artist:1OwarW4LEHnoep20ixRA0y,spotify:artist:1OwarW4LEHnoep20ixRA0y,spotify:artist:1OwarW4LEHnoep20ixRA0y,spotify:artist:1OwarW4LEHnoep20ixRA0y,spotify:artist:1OwarW4LEHnoep20ixRA0y,spotify:artist:1OwarW4LEHnoep20ixRA0y,spotify:artist:1OwarW4LEHnoep20ixRA0y,spotify:artist:1OwarW4LEHnoep20ixRA0y,spotify:artist:1OwarW4LEHnoep20ixRA0y,spotify:artist:1OwarW4LEHnoep20ixRA0y,spotify:artist:1OwarW4LEHnoep20ixRA0y,spotify:artist:1OwarW4LEHnoep20ixRA0y,spotify:artist:1OwarW4LEHnoep20ixRA0y,spotify:artist:1OwarW4LEHnoep20ixRA0y,spotify:artist:1OwarW4LEHnoep20ixRA0y,spotify:artist:1OwarW4LEHnoep20ixRA0y,spotify:artist:1OwarW4LEHnoep20ixRA0y,spotify:artist:1OwarW4LEHnoep20ixRA0y,spotify:artist:1OwarW4LEHnoep20ixRA0y"
Jack White_2015-03-28,True,2009.0,2014-06-10,6.0,0.0,2.0,10.0,1.0,"spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf,spotify:artist:4FZ3j1oH43e7cukCALsCwf"
Bula_2015-03-28,True,2014.0,,1.0,,0.0,0.0,1.0,"spotify:artist:6BfpMl90lHVfcvFiUcEGNx,spotify:artist:6BfpMl90lHVfcvFiUcEGNx,spotify:artist:6BfpMl90lHVfcvFiUcEGNx,spotify:artist:6BfpMl90lHVfcvFiUcEGNx,spotify:artist:6BfpMl90lHVfcvFiUcEGNx,spotify:artist:6BfpMl90lHVfcvFiUcEGNx,spotify:artist:6BfpMl90lHVfcvFiUcEGNx"
Fitz and The Tantrums_2015-03-28,True,2010.0,2013-05-07,5.0,1.0,3.0,6.0,1.0,"spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,spotify:artist:4AcHt3JxKy59IX7JNNlZn4"
Kasabian_2015-03-28,True,2004.0,2014-10-07,11.0,0.0,6.0,23.0,1.0,"spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue,spotify:artist:11wRdbnoYqRddKBrpHt4Ue"
Skrillex_2015-03-28,True,2010.0,2015-02-24,5.0,0.0,2.0,12.0,1.0,"spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX,spotify:artist:5he5w2lnU9x7JFhnwcekXX"
Zimbra_2015-03-28,True,2013.0,2013-06-17,2.0,1.0,1.0,2.0,1.0,"spotify:artist:11xX6bMCvpstEFOyx8lxYg,spotify:artist:11xX6bMCvpstEFOyx8lxYg,spotify:artist:11xX6bMCvpstEFOyx8lxYg,spotify:artist:11xX6bMCvpstEFOyx8lxYg,spotify:artist:11xX6bMCvpstEFOyx8lxYg,spotify:artist:11xX6bMCvpstEFOyx8lxYg,spotify:artist:11xX6bMCvpstEFOyx8lxYg,spotify:artist:11xX6bMCvpstEFOyx8lxYg,spotify:artist:11xX6bMCvpstEFOyx8lxYg,spotify:artist:11xX6bMCvpstEFOyx8lxYg,spotify:artist:11xX6bMCvpstEFOyx8lxYg,spotify:artist:11xX6bMCvpstEFOyx8lxYg,spotify:artist:11xX6bMCvpstEFOyx8lxYg,spotify:artist:11xX6bMCvpstEFOyx8lxYg,spotify:artist:11xX6bMCvpstEFOyx8lxYg,spotify:artist:11xX6bMCvpstEFOyx8lxYg,spotify:artist:11xX6bMCvpstEFOyx8lxYg,spotify:artist:11xX6bMCvpstEFOyx8lxYg,spotify:artist:11xX6bMCvpstEFOyx8lxYg"
