artist_id,hour_start,hour_end,artist,stage,date,hour_start_adj,hour_end_adj,datetime_start,datetime_end,duration_min,year,order_in_lineup,artist_name,palco,lastfm_tags,total_tags_amount_norm,lastfm_genre_tags,fem_tag,male_tag,female_presence,br_tag,is_br
Baleia_2015-03-28,12h05,12h50,Baleia,Palco Skol,2015-03-28,12:05,12:50,2015-03-28 12:05:00,2015-03-28 12:50:00,45.0,2015,0.0,Baleia,Skol,"{'brazilian': 1.0, 'seen live': 0.6, 'jazz': 0.5, 'alternative': 0.5, 'experimental': 0.5, 'mpb': 0.5, 'indie': 0.4, 'rock': 0.3, 'folk': 0.3, 'brazil': 0.3, 'brasil': 0.3, 'brasileira': 0.3, 'indie pop': 0.2, 'indie rock': 0.2, 'baroque pop': 0.2, 'post-mpb': 0.2, 'bossa nova': 0.1, 'alternative rock': 0.1, 'post-rock': 0.1, 'chamber pop': 0.1, 'blues': 0.1, 'psychedelic': 0.1, 'folk rock': 0.1, 'post rock': 0.1, 'indie folk': 0.1, 'latinoamerica': 0.1, 'br': 0.1, 'rock alternativo': 0.1, 'fluminense': 0.1, 'ouvirdepois': 0.1, 'post-mimimi': 0.1, 'poste-roque': 0.1}",0.39240506329113956,"{'rock': 0.3225806451612903, 'indie': 0.2903225806451613, 'pop': 0.16129032258064516, 'alt': 0.2258064516129032, 'electro': 0.0, 'house': 0.0, 'rap': 0.0, 'hop': 0.0}",0.0,0.0,0,2.6,1
Banda do Mar_2015-03-28,13h45,14h45,Banda do Mar,Palco Skol,2015-03-28,13:45,14:45,2015-03-28 13:45:00,2015-03-28 14:45:00,60.0,2015,17.24137931034483,Banda do Mar,Skol,"{'indie': 1.0, 'brazilian': 0.97, 'mpb': 0.88, 'indie rock': 0.52, 'rock': 0.26, 'marcelo camelo deus': 0.23, 'alternative': 0.2, 'brasil': 0.17, 'seen live': 0.13, 'folk': 0.13, 'brazil': 0.13, 'alternative rock': 0.1, 'female vocalists': 0.1, 'samba': 0.1, 'marcelo camelo': 0.1, 'mallu magalhaes': 0.1, 'mallu': 0.1, 'bossa nova': 0.07, 'surf': 0.07, 'portugal': 0.07, 'portuguese': 0.07, 'male vocalists': 0.07, 'alternative pop': 0.07, 'pop tropical': 0.07, 'indie pop': 0.04, 'twee': 0.04, 'pop rock': 0.04, 'cute': 0.04, 'acoustic': 0.04, 'latin': 0.04, 'folk rock': 0.04, 'female vocalist': 0.04, 'rock brasil': 0.04, 'rio de janeiro': 0.04, 'perfect': 0.04, '10s': 0.04, 'brasilian': 0.04, 'paradise': 0.04, '2014': 0.04, 'cult': 0.04, 'alt pop': 0.04, 'alternativo': 0.04, 'brazilian rock': 0.04, 'brazilian pop': 0.04, 'brazilian music': 0.04, 'surf music': 0.04, 'nacional': 0.04, 'vi ao vivo': 0.04, 'banda': 0.04, 'br': 0.04, 'rock alternativo': 0.04, 'pop brasil': 0.04, 'brazilian female vocalists': 0.04, '2017': 0.04, 'banda do mar': 0.04, '1 female 2 males': 0.04, 'fred ferreira': 0.04, 'thubaruba': 0.04, 'pos mpb': 0.04, 'favoritosindiebr': 0.04}",0.4909090909090909,"{'rock': 0.3076923076923077, 'indie': 0.45584045584045585, 'pop': 0.09686609686609685, 'alt': 0.13960113960113957, 'electro': 0.0, 'house': 0.0, 'rap': 0.0, 'hop': 0.0}",0.43999999999999995,0.07,1,2.5100000000000002,1
Alt-J_2015-03-28,15h55,16h55,Alt-J,Palco Skol,2015-03-28,15:55,16:55,2015-03-28 15:55:00,2015-03-28 16:55:00,60.0,2015,39.6551724137931,Alt-J,Skol,"{'indie': 1.0, 'electronic': 0.86, 'seen live': 0.82, 'british': 0.64, 'alternative': 0.61, 'indie pop': 0.51, 'indie rock': 0.14, 'experimental': 0.1, 'alternative rock': 0.06, 'rock': 0.05, 'art rock': 0.05, 'art pop': 0.05, 'pop': 0.05, 'folktronica': 0.04, 'indietronica': 0.03, 'folk': 0.03, 'english': 0.03, 'male vocalists': 0.03, 'leeds': 0.03, 'experimental rock': 0.03, 'uk': 0.03, 'psychedelic': 0.02, '10s': 0.02, 'psychedelic folk': 0.02, 'black metal': 0.02, 'electronica': 0.02, '00s': 0.02, 'math rock': 0.01, 'indie electronic': 0.01, 'england': 0.01, 'avant-garde': 0.01, 'alternative pop': 0.01}",0.7873134328358216,"{'rock': 0.0805687203791469, 'indie': 0.400473933649289, 'pop': 0.14691943127962087, 'alt': 0.1611374407582938, 'electro': 0.21090047393364927, 'house': 0.0, 'rap': 0.0, 'hop': 0.0}",0.0,0.03,0,0.0,0
Robert Plant and The Sensational Space Shifters_2015-03-28,18h20,19h35,Robert Plant and The Sensational Space Shifters,Palco Skol,2015-03-28,18:20,19:35,2015-03-28 18:20:00,2015-03-28 19:35:00,75.0,2015,64.65517241379311,Robert Plant and The Sensational Space Shifters,Skol,"{'seen live': 1.0, 'led zeppelin': 0.19, 'rock': 0.1, 'massive attack': 0.1, 'robert plant': 0.1, 'juju': 0.1, 'the sensational space shifters': 0.1}",0.059171597633136085,"{'rock': 1.0, 'indie': 0.0, 'pop': 0.0, 'alt': 0.0, 'electro': 0.0, 'house': 0.0, 'rap': 0.0, 'hop': 0.0}",0.0,0.0,0,0.0,0
Jack White_2015-03-28,21h15,23h,Jack White,Palco Skol,2015-03-28,21:15,23:00,2015-03-28 21:15:00,2015-03-28 23:00:00,105.0,2015,94.82758620689656,Jack White,Skol,"{'rock': 1.0, 'blues': 0.92, 'singer-songwriter': 0.66, 'indie': 0.56, 'folk': 0.56, 'seen live': 0.35, 'blues rock': 0.23, 'garage rock': 0.16, 'alternative rock': 0.15, 'alternative': 0.13, 'indie rock': 0.09, 'american': 0.08, 'jack white': 0.08, 'folk rock': 0.06, 'country': 0.04, 'usa': 0.04, 'garage rock revival': 0.03, 'detroit': 0.03, 'bluegrass': 0.03, 'male vocalists': 0.03, 'genius': 0.03, 'country rock': 0.03, '00s': 0.03, 'michigan': 0.03, 'punk blues': 0.02, 'the white stripes': 0.02, 'classic rock': 0.02, 'punk': 0.02, 'acoustic': 0.02, 'guitar': 0.02, 'guitar virtuoso': 0.02, '90s': 0.02, 'garage': 0.02, '10s': 0.02, 'third man records': 0.02, 'indie blues rock': 0.02, 'blues-rock': 0.01}",0.4910714285714289,"{'rock': 0.6545454545454545, 'indie': 0.24363636363636362, 'pop': 0.0, 'alt': 0.10181818181818182, 'electro': 0.0, 'house': 0.0, 'rap': 0.0, 'hop': 0.0}",0.0,0.03,0,0.0,0
Bula_2015-03-28,12h55,13h40,Bula,Palco Onix,2015-03-28,12:55,13:40,2015-03-28 12:55:00,2015-03-28 13:40:00,45.0,2015,8.620689655172415,Bula,Onix,"{'speedcore': 1.0, 'frenchcore': 0.7, 'gabber': 0.6, 'terrorcore': 0.5, 'rock': 0.4, 'terror': 0.4, 'hardcore': 0.3, 'brazilian': 0.3, 'kielce': 0.3, 'electronic': 0.2, 'kielce terror squad': 0.2, 'metal': 0.1, 'alternative': 0.1, 'alternative rock': 0.1, 'experimental': 0.1, 'stoner rock': 0.1, 'brazil': 0.1, 'acid': 0.1, 'breakcore': 0.1, 'male vocalists': 0.1, 'hardcore techno': 0.1, 'poland': 0.1, 'industrial hardcore': 0.1, 'nu style gabber': 0.1, 'lena': 0.1, 'rozpierdol': 0.1, 'pinguim': 0.1, 'cbjr': 0.1, 'kts is back': 0.1, 'kts': 0.1, 'motorcore': 0.1, 'ecore': 0.1, 'ehardcore': 0.1, 'a banca': 0.1, 'bularock': 0.1}",0.1506849315068495,"{'rock': 0.6363636363636364, 'indie': 0.0, 'pop': 0.0, 'alt': 0.18181818181818182, 'electro': 0.18181818181818182, 'house': 0.0, 'rap': 0.0, 'hop': 0.0}",0.0,0.1,0,0.4,1
Fitz and The Tantrums_2015-03-28,14h50,15h50,Fitz and The Tantrums,Palco Onix,2015-03-28,14:50,15:50,2015-03-28 14:50:00,2015-03-28 15:50:00,60.0,2015,28.448275862068964,Fitz and The Tantrums,Onix,"{'soul': 1.0, 'pop': 0.62, 'seen live': 0.55, 'indie': 0.53, 'funk': 0.51, 'blue eyed soul': 0.24, 'indie pop': 0.15, 'american': 0.1, 'blue-eyed soul': 0.08, 'alternative': 0.06, 'singer-songwriter': 0.06, 'usa': 0.06, 'los angeles': 0.05, 'neo-soul': 0.05, 'indie rock': 0.04, 'california': 0.04, 'neo soul': 0.04, 'rock': 0.04, 'northern soul': 0.04, 'pop rock': 0.03, 'funky': 0.03, 'alternative rock': 0.02, 'r&b': 0.02, 'rhythm and blues': 0.02, 'marvin gaye': 0.02, 'united states': 0.02, 'all': 0.02, 'luisterpaal': 0.02, 'fitz and the tantrums': 0.02}",0.38616071428571447,"{'rock': 0.07514450867052024, 'indie': 0.41618497109826597, 'pop': 0.4624277456647399, 'alt': 0.04624277456647399, 'electro': 0.0, 'house': 0.0, 'rap': 0.0, 'hop': 0.0}",0.0,0.0,0,0.0,0
Kasabian_2015-03-28,17h,18h15,Kasabian,Palco Onix,2015-03-28,17:00,18:15,2015-03-28 17:00:00,2015-03-28 18:15:00,75.0,2015,50.86206896551724,Kasabian,Onix,"{'indie': 1.0, 'indie rock': 0.92, 'british': 0.77, 'alternative': 0.73, 'rock': 0.65, 'seen live': 0.46, 'alternative rock': 0.21, 'britpop': 0.18, 'electronic': 0.14, 'kasabian': 0.05, 'uk': 0.04, 'electronica': 0.04, 'psychedelic': 0.03, '00s': 0.03, 'brit rock': 0.03, 'indie pop': 0.02, 'experimental': 0.02, 'indietronica': 0.02, 'electronic rock': 0.02, 'psychedelic rock': 0.02, 'leicester': 0.02, 'britrock': 0.02, 'male vocalists': 0.02, 'neo-psychedelia': 0.02, 'progressive rock': 0.02, 'england': 0.02, 'pop': 0.02, 'english': 0.01, 'dance': 0.01, 'post-punk': 0.01, 'british rock': 0.01}",0.9388489208633104,"{'rock': 0.36398467432950193, 'indie': 0.3754789272030651, 'pop': 0.042145593869731796, 'alt': 0.18007662835249041, 'electro': 0.038314176245210725, 'house': 0.0, 'rap': 0.0, 'hop': 0.0}",0.0,0.02,0,0.0,0
Skrillex_2015-03-28,19h40,21h10,Skrillex,Palco Onix,2015-03-28,19:40,21:10,2015-03-28 19:40:00,2015-03-28 21:10:00,90.0,2015,78.44827586206897,Skrillex,Onix,"{'dubstep': 1.0, 'electronic': 0.65, 'breakcore': 0.31, 'electro': 0.28, 'electronica': 0.23, 'seen live': 0.15, 'brostep': 0.13, 'electro house': 0.08, 'house': 0.06, 'dance': 0.05, 'american': 0.04, 'skrillex': 0.03, 'progressive house': 0.03, 'experimental': 0.03, 'fidget house': 0.02, 'drum and bass': 0.02, 'hardcore': 0.02, 'filthstep': 0.02, 'shitstep': 0.02, 'complextro': 0.02, 'breakbeat': 0.02, 'drumstep': 0.02, 'not dubstep': 0.01, 'glitch': 0.01, 'edm': 0.01}",0.43865030674846645,"{'rock': 0.0, 'indie': 0.0, 'pop': 0.0, 'alt': 0.0, 'electro': 0.8671328671328672, 'house': 0.13286713286713284, 'rap': 0.0, 'hop': 0.0}",0.0,0.0,0,0.0,0
Zimbra_2015-03-28,12h30,13h30,Zimbra,Palco Axe,2015-03-28,12:30,13:30,2015-03-28 12:30:00,2015-03-28 13:30:00,60.0,2015,4.310344827586207,Zimbra,Axe,"{'alternative': 1.0, 'rock': 0.8, 'brazilian': 0.6, 'indie': 0.2, 'alternative rock': 0.2, 'brazil': 0.2, 'male vocalists': 0.2, 'love at first listen': 0.2, 'brazillian': 0.2, 'rock alternativo': 0.2}",0.7368421052631576,"{'rock': 0.42857142857142855, 'indie': 0.07142857142857144, 'pop': 0.0, 'alt': 0.5, 'electro': 0.0, 'house': 0.0, 'rap': 0.0, 'hop': 0.0}",0.0,0.2,0,1.0,1
