artist_id,dim0,dim1
Baleia_2015-03-28,2.2855196,-6.3883505
Banda do Mar_2015-03-28,3.8846407,-6.503454
Alt-J_2015-03-28,2.2241042,-8.738818
Robert Plant and The Sensational Space Shifters_2015-03-28,-0.13096297,-7.2018414
Jack White_2015-03-28,1.1019553,-8.015683
Bula_2015-03-28,1.5299317,-6.0302057
Fitz and The Tantrums_2015-03-28,2.9124978,-8.453741
Kasabian_2015-03-28,0.8712067,-8.816558
Skrillex_2015-03-28,3.1905558,0.3494171
Zimbra_2015-03-28,1.7197608,-6.6756644
Boogarins_2015-03-28,1.1011487,-5.7013745
Nem Liminha Ouviu_2015-03-28,0.88603306,-5.775571
St. Vincent_2015-03-28,4.7019124,-7.0795074
Marcelo D2_2015-03-28,0.5917695,-0.6598709
Kongos_2015-03-28,0.9908866,-7.8185835
Bastille_2015-03-28,1.982274,-8.758914
DJ Anna_2015-03-28,4.598176,-1.0015609
Vintage Culture_2015-03-28,5.13855,-1.0024878
E-cologyk vs Jakko_2015-03-28,4.217071,-1.9865502
DJ Snake_2015-03-28,1.3762513,0.70737743
Dillon Francis_2015-03-28,4.0389967,0.6361682
Ritmo Machine_2015-03-28,1.5094997,-1.049348
Major Lazer_2015-03-28,2.877267,0.3282544
Scalene_2015-03-29,3.314206,-6.347593
Molotov_2015-03-29,-0.22877154,-7.8941264
Interpol_2015-03-29,0.7667962,-8.886904
Foster The People_2015-03-29,2.1969576,-8.71931
Pharrell Williams_2015-03-29,1.1265801,-1.2398129
Far From Alaska_2015-03-29,3.1686552,-6.3912234
Rudimental_2015-03-29,3.0286756,0.34179717
The Kooks_2015-03-29,1.4695286,-9.154522
Calvin Harris_2015-03-29,2.8602667,0.19960828
Doctor Pheabes_2015-03-29,0.92681634,-7.1842985
Mombojó_2015-03-29,1.7111342,-6.7024517
O Terno_2015-03-29,2.2946782,-6.095183
Three Days Grace_2015-03-29,0.12359641,-7.863136
Pitty_2015-03-29,3.0676594,-6.3272614
Young The Giant_2015-03-29,1.5670676,-8.832562
The Smashing Pumpkins_2015-03-29,-0.39274985,-7.9244094
Chemical Surf_2015-03-29,4.7572856,-1.5036616
Victor Ruiz vs Any Mello_2015-03-29,4.441839,-1.4849727
Big Gigantic_2015-03-29,2.151427,-0.52800214
Carnage_2015-03-29,1.0338887,0.5697264
The Chainsmokers_2015-03-29,4.65782,0.8389761
Childish Gambino_2015-03-29,1.0596521,-1.2138002
Steve Aoki_2015-03-29,3.864785,0.48023427
Vespas Mandarinas_2014-04-05,3.5135484,-6.4485292
Capital Cities_2014-04-05,2.7771308,-8.394274
Julian Casablancas_2014-04-05,1.507439,-9.01394
Phoenix_2014-04-05,1.7721987,-9.070629
Muse_2014-04-05,-0.064901955,-8.011208
Silva_2014-04-05,3.878898,-6.698733
